webservices-axiom,http://issues.apache.org/jira/browse/AXIOM
webservices-woden,https://issues.apache.org/jira/browse/Woden
whimsy,https://issues.apache.org/jira/browse/WHIMSY
wicket,http://issues.apache.org/jira/browse/WICKET
xalan-for_c++_xslt_processor,http://issues.apache.org/jira/browse/XALANC
xalan-for_java_xslt_processor,http://issues.apache.org/jira/browse/XALANJ
xerces-for_c++_xml_parser,https://issues.apache.org/jira/browse/XERCESC
xerces-for_java_xml_parser,http://issues.apache.org/jira/browse/XERCESJ
xerces-for_perl_xml_parser,https://issues.apache.org/jira/browse/XERCESP
xerces-xml_commons_external,http://issues.apache.org/jira/browse/XMLCOMMONS
xerces-xml_commons_resolver,http://issues.apache.org/jira/browse/XMLCOMMONS
xmlgraphics-batik,https://issues.apache.org/jira/browse/BATIK
xmlgraphics-fop,https://issues.apache.org/jira/browse/FOP
xmlgraphics-xml_graphics_commons,https://issues.apache.org/jira/browse/XGC
yetus,https://issues.apache.org/jira/browse/yetus
zeppelin,https://issues.apache.org/jira/browse/ZEPPELIN
zookeeper,https://issues.apache.org/jira/browse/ZOOKEEPER
